code_id,code_group,subgroup,code_name,type,definition,additional_note,example_quotes_count
experience_valence_analytic_tag.interpretive_flag.emotional_response_insight_tag,Experience Valence - Analytic Tag,Interpretive Flag,Emotional Response/Insight (Tag),Inductive,"Use this tag when a participant’s statement suggests an emotional reaction, reflection, or internal response—even if they don’t explicitly label it as an emotion. This tag is not used to classify tone (positive/negative)—that's the role of the Experience Valence codes—but to signal that something emotionally meaningful is happening in the participant's interpretation, tone, or phrasing.","The purpose of this tag is to flag emotionally rich passages for further analysis, particularly those that may reveal: 1. What triggers emotional engagement (e.g., a shared story, an alert, a graph spike) 2. How participants internalize or personalize the experience 3. Unspoken tensions, motivations, or affective shifts Do not apply if the participant is only giving factual or descriptive feedback with no reflective tone or implied emotion",3
health_video_engagement.sentiment_response.video_shared_experience_recognition,Health Video Engagement,Sentiment Response,Video Shared Experience - Recognition,Inductive,"Participant describes seeing others with similar conditions, feeling seen, or identifying with peers.",,3
health_video_engagement.usage_feedback.video_helpfulness_evaluation,Health Video Engagement,Usage Feedback,Video Helpfulness Evaluation,Deductive,Participants' evaluations of health videos as either helpful or non-helpful in supporting their understanding or usage.,"I changed this code from one side (being helpful) to evaluations (neutral). Although the three sample interviews all state the video being helpful, but we need to consider the chance that someone doesn't think the same.",3
learning_outcome.health_awareness.dietary_awareness,Learning Outcome,Health Awareness,Dietary Awareness,Inductive,"Participant mentions becoming more aware of their health, related diet habits, or related behaviors through the device.",,3
learning_outcome.health_awareness.exercise_awareness,Learning Outcome,Health Awareness,Exercise Awareness,Inductive,"A personally developed realization or understanding that results in a change to the participant’s own day-to-day outine, or mindset.",,3
learning_outcome.insight_leading_to_personal_lifestyle_change.dietary_adjustment,Learning Outcome,Insight Leading to Personal Lifestyle Change,Dietary Adjustment,Inductive,Changes in food intake or portion control as a result of device feedback.,,3
learning_outcome.insight_leading_to_personal_lifestyle_change.exercise_adjustment,Learning Outcome,Insight Leading to Personal Lifestyle Change,Exercise Adjustment,Inductive,Changes in physical activity based on glucose readings.,This includes any moment where participants reflect on how using the device helped them better understand their own health and adjust their lifestyle accordingly.,3
learning_outcome.other_insights_or_changes.influence_on_others,Learning Outcome,Other Insights or Changes,Influence on Others,Inductive,"A realization or takeaway that leads participants to influence or adjust the behaviors of people around them, such as family members, friends, or coworkers.",These reflections go beyond personal change to describe how the participant’s experience with the device prompted broader lifestyle awareness or adjustments in their social circle.,1
personal_context.personal_lifestyle.cultural_anchoring_habit_roots,Personal Context,Personal Lifestyle,Cultural Anchoring & Habit Roots,Deductive,"Participant references food, exercise, or lifestyle choices tied to cultural upbringing, routines, or personal history that influence behavior change.",,2
personal_context.personal_lifestyle.lifestyle_app_use,Personal Context,Personal Lifestyle,Lifestyle App Use,Deductive,Mentions of other frequently used apps revealing participant lifestyle or preferences.,,3
